Mod:Item:MetaData, Localized Name
thermaldynamics:cover:0, Quadruple Compressed Dirt Cover
thermaldynamics:cover:0, Compressed Sand Cover
thermaldynamics:cover:0, Double Compressed Sand Cover
thermaldynamics:cover:0, Compressed Gravel Cover
thermaldynamics:cover:0, Double Compressed Gravel Cover
thermaldynamics:cover:0, Compressed Netherrack Cover
thermaldynamics:cover:0, Double Compressed Netherrack Cover
thermaldynamics:cover:0, Triple Compressed Netherrack Cover
thermaldynamics:cover:0, Quadruple Compressed Netherrack Cover
thermaldynamics:cover:0, Quintuple Compressed Netherrack Cover
thermaldynamics:cover:0, Sextuple Compressed Netherrack Cover
thermaldynamics:cover:0, Red Orchid Cover
thermaldynamics:cover:0, Power Overload Cover
thermaldynamics:cover:0, Border Stone Cover
thermaldynamics:cover:0, Crossed Stone Cover
thermaldynamics:cover:0, Polished Stone Cover
thermaldynamics:cover:0, Stoneburnt Cover
thermaldynamics:cover:0, Sandy Glass Cover
thermaldynamics:cover:0, Truchet Cover
thermaldynamics:cover:0, Blue Quartz Cover
thermaldynamics:cover:0, Quartzburnt Cover
thermaldynamics:cover:0, Rainbow Stone Cover
thermaldynamics:cover:0, Thickened Glass Cover
thermaldynamics:cover:0, Thickened Glass (Bordered) Cover
thermaldynamics:cover:0, Thickened Glass (Patterned) Cover
thermaldynamics:cover:0, Dark Glass Cover
thermaldynamics:cover:0, Glowing Glass Cover
thermaldynamics:cover:0, Redstone Glass Cover
thermaldynamics:cover:0, Ethereal Glass Cover
thermaldynamics:cover:0, Reverse Ethereal Glass Cover
thermaldynamics:cover:0, Ineffable Glass Cover
thermaldynamics:cover:0, Dark Ineffable Glass Cover
thermaldynamics:cover:0, Transfer Pipe Cover
thermaldynamics:cover:0, Wooden Spikes Cover
thermaldynamics:cover:0, Stone Spikes Cover
thermaldynamics:cover:0, Iron Spikes Cover
thermaldynamics:cover:0, Golden Spikes Cover
thermaldynamics:cover:0, Diamond Spikes Cover
thermaldynamics:cover:0, Creative Spikes Cover
thermaldynamics:cover:0, Redstone Lantern Cover
thermaldynamics:cover:0, Block of Enchanted Metal Cover
thermaldynamics:cover:0, Block of Demon Metal Cover
thermaldynamics:cover:0, Block of Evil Infused Iron Cover
thermaldynamics:cover:0, Bedrock Bricks Cover
thermaldynamics:cover:0, Bedrock Slabs Cover
thermaldynamics:cover:0, Bedrock Cobblestone Cover
thermaldynamics:cover:0, Ferrous-Juniper Leaves Cover
thermaldynamics:cover:0, Burnt Ferrous-Juniper Leaves Cover
thermaldynamics:cover:0, Ferrous-Juniper Log Cover
thermaldynamics:cover:0, Ferrous-Juniper Log Cover
thermaldynamics:cover:0, Ferrous-Juniper Sapling Cover
thermaldynamics:cover:0, Dead Ferrous-Juniper Sapling Cover
thermaldynamics:cover:0, Ferrous-Juniper Planks Cover
thermaldynamics:cover:0, Raw Ferrous-Juniper Planks Cover
thermaldynamics:cover:0, Rusty Hatch Cover
thermaldynamics:cover:0, Rusty Ladder Cover
thermaldynamics:cover:0, Hi-tech Door Cover
thermaldynamics:cover:0, Frame Cover
thermaldynamics:cover:0, Ruby Ore Cover
thermaldynamics:cover:0, Sapphire Ore Cover
thermaldynamics:cover:0, Peridot Ore Cover
thermaldynamics:cover:0, Copper Ore Cover
thermaldynamics:cover:0, Tin Ore Cover
thermaldynamics:cover:0, Silver Ore Cover
thermaldynamics:cover:0, Electrotine Ore Cover
thermaldynamics:cover:0, Marble Cover
thermaldynamics:cover:0, Marble Brick Cover
thermaldynamics:cover:0, Basalt Cobblestone Cover
thermaldynamics:cover:0, Basalt Cover
thermaldynamics:cover:0, Basalt Brick Cover
thermaldynamics:cover:0, Block of Ruby Cover
thermaldynamics:cover:0, Block of Sapphire Cover
thermaldynamics:cover:0, Block of Peridot Cover
thermaldynamics:cover:0, Block of Copper Cover
thermaldynamics:cover:0, Block of Tin Cover
thermaldynamics:cover:0, Block of Silver Cover
thermaldynamics:cover:0, Block of Electrotine Cover
thermaldynamics:cover:0, Marble Wall Cover
thermaldynamics:cover:0, Marble Brick Wall Cover
thermaldynamics:cover:0, Basalt Cobblestone Wall Cover
thermaldynamics:cover:0, Basalt Wall Cover
thermaldynamics:cover:0, Basalt Brick Wall Cover
thermaldynamics:cover:0, Ruby Wall Cover
thermaldynamics:cover:0, Sapphire Wall Cover
thermaldynamics:cover:0, Peridot Wall Cover
thermaldynamics:cover:0, Copper Wall Cover
thermaldynamics:cover:0, Tin Wall Cover
thermaldynamics:cover:0, Silver Wall Cover
thermaldynamics:cover:0, Electrotine Wall Cover
thermaldynamics:cover:0, Nickel-Iron Battery Cover
thermaldynamics:cover:0, Nickel-Zinc Battery Cover
thermaldynamics:cover:0, Zinc-Carbon Battery Cover
thermaldynamics:cover:0, Expended Zinc-Carbon Battery Cover
thermaldynamics:cover:0, Zinc-Silver Battery Cover
thermaldynamics:cover:0, Expended Zinc-Silver Battery Cover
thermaldynamics:cover:0, Charge Trap Cover
thermaldynamics:cover:0, Wire Support Frame Cover
thermaldynamics:cover:0, Charge Shunting Wire Cover
thermaldynamics:cover:0, Steel Anvil Cover
thermaldynamics:cover:0, Steel Anvil Cover
thermaldynamics:cover:0, Steel Anvil Cover
thermaldynamics:cover:0, Block of Coal Coke Cover
thermaldynamics:cover:0, Block of Copper Cover
thermaldynamics:cover:0, Block of Tin Cover
thermaldynamics:cover:0, Block of Lead Cover
thermaldynamics:cover:0, Block of Silver Cover
thermaldynamics:cover:0, Block of Steel Cover
thermaldynamics:cover:0, Block of Bronze Cover
thermaldynamics:cover:0, Block of Nickel Cover
thermaldynamics:cover:0, Block of Invar Cover
thermaldynamics:cover:0, Block of Zinc Cover
thermaldynamics:cover:0, Block of Brass Cover
thermaldynamics:cover:0, Elevator Track Cover
thermaldynamics:cover:0, Abandoned Track Cover
thermaldynamics:cover:0, Electric Track Cover
thermaldynamics:cover:0, High Speed Track Cover
thermaldynamics:cover:0, High Speed Electric Track Cover
thermaldynamics:cover:0, Reinforced Track Cover
thermaldynamics:cover:0, Strap Iron Track Cover
thermaldynamics:cover:0, Abyssal Stone Cover
thermaldynamics:cover:0, Jaded Stone Cover
thermaldynamics:cover:0, Quarried Stone Cover
thermaldynamics:cover:0, Crushed Obsidian Cover
thermaldynamics:cover:0, Saltpeter Ore Spawner Cover
thermaldynamics:cover:0, Abyssal Stone Paver Cover
thermaldynamics:cover:0, Abyssal Stone Brick Cover
thermaldynamics:cover:0, Polished Abyssal Stone Cover
thermaldynamics:cover:0, Chiseled Abyssal Stone Cover
thermaldynamics:cover:0, Etched Abyssal Stone Cover
thermaldynamics:cover:0, Abyssal Cobblestone Cover
thermaldynamics:cover:0, Bleached Bone Stone Paver Cover
thermaldynamics:cover:0, Bleached Bone Stone Brick Cover
thermaldynamics:cover:0, Polished Bleached Bone Stone Cover
thermaldynamics:cover:0, Chiseled Bleached Bone Stone Cover
thermaldynamics:cover:0, Etched Bleached Bone Stone Cover
thermaldynamics:cover:0, Bleached Bone Cobblestone Cover
thermaldynamics:cover:0, Blood Stained Stone Paver Cover
thermaldynamics:cover:0, Blood Stained Stone Brick Cover
thermaldynamics:cover:0, Polished Blood Stained Stone Cover
thermaldynamics:cover:0, Chiseled Blood Stained Stone Cover
thermaldynamics:cover:0, Etched Blood Stained Stone Cover
thermaldynamics:cover:0, Blood Stained Cobblestone Cover
thermaldynamics:cover:0, Frost Bound Stone Paver Cover
thermaldynamics:cover:0, Frost Bound Stone Brick Cover
thermaldynamics:cover:0, Polished Frost Bound Stone Cover
thermaldynamics:cover:0, Chiseled Frost Bound Stone Cover
thermaldynamics:cover:0, Etched Frost Bound Stone Cover
thermaldynamics:cover:0, Frost Bound Cobblestone Cover
thermaldynamics:cover:0, Infernal Stone Paver Cover
thermaldynamics:cover:0, Infernal Stone Brick Cover
thermaldynamics:cover:0, Polished Infernal Stone Cover
thermaldynamics:cover:0, Chiseled Infernal Stone Cover
thermaldynamics:cover:0, Etched Infernal Stone Cover
thermaldynamics:cover:0, Infernal Cobblestone Cover
thermaldynamics:cover:0, Jaded Stone Paver Cover
thermaldynamics:cover:0, Jaded Stone Brick Cover
thermaldynamics:cover:0, Polished Jaded Stone Cover
thermaldynamics:cover:0, Chiseled Jaded Stone Cover
thermaldynamics:cover:0, Etched Jaded Stone Cover
thermaldynamics:cover:0, Jaded Cobblestone Cover
thermaldynamics:cover:0, Quarried Paver Cover
thermaldynamics:cover:0, Quarried Brick Cover
thermaldynamics:cover:0, Polished Quarried Stone Cover
thermaldynamics:cover:0, Chiseled Quarried Stone Cover
thermaldynamics:cover:0, Etched Quarried Stone Cover
thermaldynamics:cover:0, Quarried Cobblestone Cover
thermaldynamics:cover:0, Sandy Stone Paver Cover
thermaldynamics:cover:0, Sandy Stone Brick Cover
thermaldynamics:cover:0, Polished Sandy Stone Cover
thermaldynamics:cover:0, Chiseled Sandy Stone Cover
thermaldynamics:cover:0, Etched Sandy Stone Cover
thermaldynamics:cover:0, Sandy Cobblestone Cover
thermaldynamics:cover:0, Badlands Stone Paver Cover
thermaldynamics:cover:0, Badlands Stone Brick Cover
thermaldynamics:cover:0, Polished Badlands Stone Cover
thermaldynamics:cover:0, Chiseled Badlands Stone Cover
thermaldynamics:cover:0, Etched Badlands Stone Cover
thermaldynamics:cover:0, Badlands Cobblestone Cover
thermaldynamics:cover:0, Fitted Nether Brick Cover
thermaldynamics:cover:0, Polished Nether Stone Cover
thermaldynamics:cover:0, Chiseled Nether Stone Cover
thermaldynamics:cover:0, Etched Nether Stone Cover
thermaldynamics:cover:0, Nether Cobblestone Cover
thermaldynamics:cover:0, Red Nether Brick Cover
thermaldynamics:cover:0, Polished Red Nether Stone Cover
thermaldynamics:cover:0, Chiseled Red Nether Stone Cover
thermaldynamics:cover:0, Etched Red Nether Stone Cover
thermaldynamics:cover:0, Red Nether Cobblestone Cover
thermaldynamics:cover:0, Andesite Paver Cover
thermaldynamics:cover:0, Andesite Brick Cover
thermaldynamics:cover:0, Chiseled Andesite Cover
thermaldynamics:cover:0, Etched Andesite Cover
thermaldynamics:cover:0, Andesite Cobblestone Cover
thermaldynamics:cover:0, Diorite Paver Cover
thermaldynamics:cover:0, Diorite Brick Cover
thermaldynamics:cover:0, Chiseled Diorite Cover
thermaldynamics:cover:0, Etched Diorite Cover
thermaldynamics:cover:0, Diorite Cobblestone Cover
thermaldynamics:cover:0, Granite Paver Cover
thermaldynamics:cover:0, Granite Brick Cover
thermaldynamics:cover:0, Chiseled Granite Cover
thermaldynamics:cover:0, Etched Granite Cover
thermaldynamics:cover:0, Granite Cobblestone Cover
thermaldynamics:cover:0, Pearlized Paver Cover
thermaldynamics:cover:0, Pearlized Stone Brick Cover
thermaldynamics:cover:0, Polished Pearlized Stone Cover
thermaldynamics:cover:0, Chiseled Pearlized Stone Cover
thermaldynamics:cover:0, Etched Pearlized Stone Cover
thermaldynamics:cover:0, Pearlized Cobblestone Cover
thermaldynamics:cover:0, Strengthened Glass Cover
thermaldynamics:cover:0, Orange Strengthened Glass Cover
thermaldynamics:cover:0, Magenta Strengthened Glass Cover
thermaldynamics:cover:0, Light Blue Strengthened Glass Cover
thermaldynamics:cover:0, Yellow Strengthened Glass Cover
thermaldynamics:cover:0, Lime Strengthened Glass Cover
thermaldynamics:cover:0, Pink Strengthened Glass Cover
thermaldynamics:cover:0, Gray Strengthened Glass Cover
thermaldynamics:cover:0, Light Gray Strengthened Glass Cover
thermaldynamics:cover:0, Cyan Strengthened Glass Cover
thermaldynamics:cover:0, Purple Strengthened Glass Cover
thermaldynamics:cover:0, Blue Strengthened Glass Cover
thermaldynamics:cover:0, Brown Strengthened Glass Cover
thermaldynamics:cover:0, Green Strengthened Glass Cover
thermaldynamics:cover:0, Red Strengthened Glass Cover
thermaldynamics:cover:0, Black Strengthened Glass Cover
thermaldynamics:cover:0, Creosote Wood Block Cover
thermaldynamics:cover:0, Creosote Wood Stairs Cover
thermaldynamics:cover:0, Creosote Wood Slab Cover
thermaldynamics:cover:0, White Reinforced Concrete Cover
thermaldynamics:cover:0, Orange Reinforced Concrete Cover
thermaldynamics:cover:0, Magenta Reinforced Concrete Cover
thermaldynamics:cover:0, Light Blue Reinforced Concrete Cover
thermaldynamics:cover:0, Yellow Reinforced Concrete Cover
thermaldynamics:cover:0, Lime Reinforced Concrete Cover
thermaldynamics:cover:0, Pink Reinforced Concrete Cover
thermaldynamics:cover:0, Gray Reinforced Concrete Cover
thermaldynamics:cover:0, Reinforced Concrete Cover
thermaldynamics:cover:0, Cyan Reinforced Concrete Cover
thermaldynamics:cover:0, Purple Reinforced Concrete Cover
thermaldynamics:cover:0, Blue Reinforced Concrete Cover
thermaldynamics:cover:0, Brown Reinforced Concrete Cover
thermaldynamics:cover:0, Green Reinforced Concrete Cover
thermaldynamics:cover:0, Red Reinforced Concrete Cover
thermaldynamics:cover:0, Black Reinforced Concrete Cover
thermaldynamics:cover:0, White Metal Post Cover
thermaldynamics:cover:0, Orange Metal Post Cover
thermaldynamics:cover:0, Magenta Metal Post Cover
thermaldynamics:cover:0, Light Blue Metal Post Cover
thermaldynamics:cover:0, Yellow Metal Post Cover
thermaldynamics:cover:0, Lime Metal Post Cover
thermaldynamics:cover:0, Pink Metal Post Cover
thermaldynamics:cover:0, Gray Metal Post Cover
thermaldynamics:cover:0, Light Gray Metal Post Cover
thermaldynamics:cover:0, Cyan Metal Post Cover
thermaldynamics:cover:0, Purple Metal Post Cover
thermaldynamics:cover:0, Blue Metal Post Cover
thermaldynamics:cover:0, Brown Metal Post Cover
thermaldynamics:cover:0, Green Metal Post Cover
thermaldynamics:cover:0, Red Metal Post Cover
thermaldynamics:cover:0, Black Metal Post Cover
thermaldynamics:cover:0, White Metal Post Platform Cover
thermaldynamics:cover:0, Orange Metal Post Platform Cover
thermaldynamics:cover:0, Magenta Metal Post Platform Cover
thermaldynamics:cover:0, Light Blue Metal Post Platform Cover
thermaldynamics:cover:0, Yellow Metal Post Platform Cover
thermaldynamics:cover:0, Lime Metal Post Platform Cover
thermaldynamics:cover:0, Pink Metal Post Platform Cover
thermaldynamics:cover:0, Gray Metal Post Platform Cover
thermaldynamics:cover:0, Light Gray Metal Post Platform Cover
thermaldynamics:cover:0, Cyan Metal Post Platform Cover
thermaldynamics:cover:0, Purple Metal Post Platform Cover
thermaldynamics:cover:0, Blue Metal Post Platform Cover
thermaldynamics:cover:0, Brown Metal Post Platform Cover
thermaldynamics:cover:0, Green Metal Post Platform Cover
thermaldynamics:cover:0, Red Metal Post Platform Cover
thermaldynamics:cover:0, Black Metal Post Platform Cover
thermaldynamics:cover:0, Abyssal Brick Stairs Cover
thermaldynamics:cover:0, Bleached Bone Brick Stairs Cover
thermaldynamics:cover:0, Bloodstained Brick Stairs Cover
thermaldynamics:cover:0, Frost Bound Brick Stairs Cover
thermaldynamics:cover:0, Infernal Brick Stairs Cover
thermaldynamics:cover:0, Jaded Brick Stairs Cover
thermaldynamics:cover:0, Pearlized Brick Stairs Cover
thermaldynamics:cover:0, Quarried Brick Stairs Cover
thermaldynamics:cover:0, Badlands Brick Stairs Cover
thermaldynamics:cover:0, Sandy Brick Stairs Cover
thermaldynamics:cover:0, Abyssal Paver Stairs Cover
thermaldynamics:cover:0, Bleached Bone Paver Stairs Cover
thermaldynamics:cover:0, Bloodstained Paver Stairs Cover
thermaldynamics:cover:0, Frost Bound Paver Stairs Cover
thermaldynamics:cover:0, Infernal Paver Stairs Cover
thermaldynamics:cover:0, Jaded Paver Stairs Cover
thermaldynamics:cover:0, Pearlized Paver Stairs Cover
thermaldynamics:cover:0, Quarried Paver Stairs Cover
thermaldynamics:cover:0, Badlands Paver Stairs Cover
thermaldynamics:cover:0, Sandy Paver Stairs Cover
thermaldynamics:cover:0, Abyssal Brick Slab Cover
thermaldynamics:cover:0, Abyssal Paver Slab Cover
thermaldynamics:cover:0, Badlands Brick Slab Cover
thermaldynamics:cover:0, Badlands Paver Slab Cover
thermaldynamics:cover:0, Bleached Bone Brick Slab Cover
thermaldynamics:cover:0, Bleached Bone Paver Slab Cover
thermaldynamics:cover:0, Blood Stained Brick Slab Cover
thermaldynamics:cover:0, Blood Stained Paver Slab Cover
thermaldynamics:cover:0, Frost Bound Brick Slab Cover
thermaldynamics:cover:0, Frost Bound Paver Slab Cover
thermaldynamics:cover:0, Infernal Brick Slab Cover
thermaldynamics:cover:0, Infernal Paver Slab Cover
thermaldynamics:cover:0, Jaded Brick Slab Cover
thermaldynamics:cover:0, Jaded Paver Slab Cover
thermaldynamics:cover:0, Pearlized Brick Slab Cover
thermaldynamics:cover:0, Pearlized Paver Slab Cover
thermaldynamics:cover:0, Quarried Brick Slab Cover
thermaldynamics:cover:0, Quarried Paver Slab Cover
thermaldynamics:cover:0, Sandy Brick Slab Cover
thermaldynamics:cover:0, Sandy Paver Slab Cover
thermaldynamics:cover:0, Worldspike Point Cover
thermalinnovation:drill:0, Fluxbore (Basic)
thermalinnovation:drill:1, Fluxbore (Hardened)
thermalinnovation:drill:2, Fluxbore (Reinforced)
thermalinnovation:drill:3, Fluxbore (Signalum)
thermalinnovation:drill:4, Fluxbore (Resonant)
thermalinnovation:drill:32000, Fluxbore (Creative)
thermalinnovation:saw:0, Fluxsaw (Basic)
thermalinnovation:saw:1, Fluxsaw (Hardened)
thermalinnovation:saw:2, Fluxsaw (Reinforced)
thermalinnovation:saw:3, Fluxsaw (Signalum)
thermalinnovation:saw:4, Fluxsaw (Resonant)
thermalinnovation:saw:32000, Fluxsaw (Creative)
thermalinnovation:magnet:0, Fluxomagnet (Basic)
thermalinnovation:magnet:1, Fluxomagnet (Hardened)
thermalinnovation:magnet:2, Fluxomagnet (Reinforced)
thermalinnovation:magnet:3, Fluxomagnet (Signalum)
thermalinnovation:magnet:4, Fluxomagnet (Resonant)
thermalinnovation:magnet:32000, Fluxomagnet (Creative)
thermalinnovation:injector:0, Hypoinfuser (Basic)
thermalinnovation:injector:1, Hypoinfuser (Hardened)
thermalinnovation:injector:2, Hypoinfuser (Reinforced)
thermalinnovation:injector:3, Hypoinfuser (Signalum)
thermalinnovation:injector:4, Hypoinfuser (Resonant)
thermalinnovation:injector:32000, Hypoinfuser (Creative)
thermalinnovation:quiver:0, Alchemical Quiver (Basic)
thermalinnovation:quiver:1, Alchemical Quiver (Hardened)
thermalinnovation:quiver:2, Alchemical Quiver (Reinforced)
thermalinnovation:quiver:3, Alchemical Quiver (Signalum)
thermalinnovation:quiver:4, Alchemical Quiver (Resonant)
thermalinnovation:quiver:32000, Alchemical Quiver (Creative)
libvulpes:blockphantom, tile.blockPhantom.name
libvulpes:hatch:0, Input Hatch
libvulpes:hatch:1, Output Hatch
libvulpes:hatch:2, Fluid Input Hatch
libvulpes:hatch:3, Fluid Output Hatch
libvulpes:placeholder, Machine
libvulpes:structuremachine, Machine Structure
libvulpes:advstructuremachine, Advanced Machine Structure
libvulpes:creativepowerbattery, Creative Power Input Plug
libvulpes:forgepowerinput, Power Input Plug
libvulpes:forgepoweroutput, Power Output Plug
libvulpes:coalgenerator, Coal Generator
libvulpes:motor, Motor
libvulpes:advancedmotor, Advanced Motor
libvulpes:enhancedmotor, Enhanced Motor
libvulpes:elitemotor, Elite Motor
libvulpes:ic2plug, IC2 Plug(EU)
libvulpes:productdust:0, material.Dilithium.name Dust
libvulpes:productdust:1, Iron Dust
libvulpes:productdust:2, Gold Dust
libvulpes:productdust:3, Silicon Dust
libvulpes:productdust:4, Copper Dust
libvulpes:productdust:5, Tin Dust
libvulpes:productdust:6, Steel Dust
libvulpes:productdust:7, Titanium Dust
libvulpes:productdust:9, Aluminum Dust
libvulpes:productdust:10, Iridium Dust
libvulpes:productingot:3, Silicon Ingot
libvulpes:productingot:4, Copper Ingot
libvulpes:productingot:5, Tin Ingot
libvulpes:productingot:6, Steel Ingot
libvulpes:productingot:7, Titanium Ingot
libvulpes:productingot:9, Aluminum Ingot
libvulpes:productingot:10, Iridium Ingot
libvulpes:productgem:0, material.Dilithium.name Crystal
libvulpes:productboule:3, Silicon Boule
libvulpes:productnugget:3, Silicon Nugget
libvulpes:productnugget:4, Copper Nugget
libvulpes:productnugget:5, Tin Nugget
libvulpes:productnugget:6, Steel Nugget
libvulpes:productnugget:7, Titanium Nugget
libvulpes:productnugget:9, Aluminum Nugget
libvulpes:productnugget:10, Iridium Nugget
libvulpes:productplate:1, Iron Plate
libvulpes:productplate:2, Gold Plate
libvulpes:productplate:3, Silicon Plate
libvulpes:productplate:4, Copper Plate
libvulpes:productplate:5, Tin Plate
libvulpes:productplate:6, Steel Plate
libvulpes:productplate:7, Titanium Plate
libvulpes:productplate:9, Aluminum Plate
libvulpes:productplate:10, Iridium Plate
libvulpes:productrod:1, Iron Rod
libvulpes:productrod:4, Copper Rod
libvulpes:productrod:6, Steel Rod
libvulpes:productrod:7, Titanium Rod
libvulpes:productrod:10, Iridium Rod
libvulpes:productfan:6, Steel Fan
libvulpes:productsheet:1, Iron Sheet
libvulpes:productsheet:4, Copper Sheet
libvulpes:productsheet:6, Steel Sheet
libvulpes:productsheet:7, Titanium Sheet
libvulpes:productsheet:9, Aluminum Sheet
libvulpes:productgear:6, Steel Gear
libvulpes:productgear:7, Titanium Gear
libvulpes:ore0:0, material.Dilithium.name Ore
libvulpes:ore0:4, Copper Ore
libvulpes:ore0:5, Tin Ore
libvulpes:ore0:8, Rutile Ore
libvulpes:ore0:9, Aluminum Ore
libvulpes:ore0:10, Iridium Ore
libvulpes:metal0:4, Copper Block
libvulpes:metal0:5, Tin Block
libvulpes:metal0:6, Steel Block
libvulpes:metal0:7, Titanium Block
libvulpes:metal0:9, Aluminum Block
libvulpes:metal0:10, Iridium Block
libvulpes:coil0:2, Gold Coil
libvulpes:coil0:4, Copper Coil
libvulpes:coil0:7, Titanium Coil
libvulpes:coil0:9, Aluminum Coil
libvulpes:coil0:10, Iridium Coil
advancedrocketry:concrete, Concrete
advancedrocketry:blastbrick, HeatProof Brick
advancedrocketry:structuretower, Structure Tower
advancedrocketry:blocklens, Lens
advancedrocketry:solarpanel, Solar Panel
advancedrocketry:solararraypanel, Solar Array Panel
advancedrocketry:sawblade, Saw Blade Assembly
advancedrocketry:platepress, Small Plate Presser
advancedrocketry:forcefieldprojector, Force Field Projector
advancedrocketry:forcefield, Force Field
advancedrocketry:vacuumlaser, Vacuum-Chamber High Power Laser Emitter
advancedrocketry:blockpump, Fluid Pump
advancedrocketry:suitworkstation, Suit Workstation
advancedrocketry:liquidtank, Pressurized Tank
advancedrocketry:solargenerator, Solar Generator
advancedrocketry:wirelesstransciever, Wireless Transceiver
advancedrocketry:arcfurnace, Electric Arc Furnace
advancedrocketry:rollingmachine, Rolling Machine
advancedrocketry:lathe, Lathe
advancedrocketry:crystallizer, Crystallizer
advancedrocketry:cuttingmachine, Cutting Machine
advancedrocketry:precisionassemblingmachine, Precision Assembler
advancedrocketry:electrolyser, Electrolyser
advancedrocketry:chemicalreactor, Chemical Reactor
advancedrocketry:precisionlaseretcher, Precision Laser Etcher
advancedrocketry:observatory, Observatory
advancedrocketry:planetanalyser, Astrobody Data Processor
advancedrocketry:centrifuge, Essentia Centrifuge
advancedrocketry:satellitebuilder, Satellite Builder
advancedrocketry:blackholegenerator, Black Hole Generator
advancedrocketry:microwavereciever, Microwave Receiver
advancedrocketry:solararray, Solar Array
advancedrocketry:warpcore, Warp Core
advancedrocketry:beacon, Beacon
advancedrocketry:biomescanner, Biome Scanner
advancedrocketry:railgun, Railgun
advancedrocketry:spaceelevatorcontroller, Space Elevator
advancedrocketry:terraformer, Atmosphere Terraformer
advancedrocketry:gravitymachine, Area Gravity Controller
advancedrocketry:spacelaser, Orbital Laser Drill
advancedrocketry:launchpad, Launch Pad
advancedrocketry:landingpad, Docking Pad
advancedrocketry:stationmarker, Station Docking Port
advancedrocketry:seat, Seat
advancedrocketry:rocketmotor, Monopropellant Rocket Engine
advancedrocketry:bipropellantrocketmotor, Bipropellant Rocket Engine
advancedrocketry:advrocketmotor, Advanced Monopropellant Rocket Engine
advancedrocketry:advbipropellantrocketmotor, Advanced Bipropellant Rocket Engine
advancedrocketry:nuclearrocketmotor, Nuclear Thermal Rocket Engine
advancedrocketry:fueltank, Monopropellant Fuel Tank
advancedrocketry:bipropellantfueltank, Bipropellant Fuel Tank
advancedrocketry:oxidizerfueltank, Oxidizer Fuel Tank
advancedrocketry:nuclearfueltank, Nuclear Thermal Working Fluid Tank
advancedrocketry:nuclearcore, Nuclear Thermal Fission Core
advancedrocketry:guidancecomputer, Guidance Computer
advancedrocketry:intake, Gas Intake
advancedrocketry:drill, Drill
advancedrocketry:landingfloat, Landing Float
advancedrocketry:rocketbuilder, Rocket Assembling Machine
advancedrocketry:stationbuilder, Space Station Assembler
advancedrocketry:deployablerocketbuilder, Unmanned Vehicle Assembler
advancedrocketry:loader:0, Data Bus
advancedrocketry:loader:1, Satellite Bay
advancedrocketry:loader:2, Rocket Unloader
advancedrocketry:loader:3, Rocket Loader
advancedrocketry:loader:4, Rocket Fluid Unloader
advancedrocketry:loader:5, Rocket Fluid Loader
advancedrocketry:loader:6, Guidance Computer Access Hatch
advancedrocketry:fuelingstation, Fueling station
advancedrocketry:monitoringstation, Rocket Monitoring Station
advancedrocketry:satellitecontrolcenter, Satellite Terminal
advancedrocketry:warpmonitor, Warp Controller
advancedrocketry:orientationcontroller, Orientation Controller
advancedrocketry:gravitycontroller, Station Gravity Controller
advancedrocketry:altitudecontroller, Altitude Controller
advancedrocketry:planetselector, Planet Selector
advancedrocketry:planetholoselector, Holographic Planet Selector
advancedrocketry:oxygenscrubber, CO2 Scrubber
advancedrocketry:oxygenvent, Oxygen Vent
advancedrocketry:oxygencharger, Gas Charge Pad
advancedrocketry:oxygendetection, Atmosphere Detector
advancedrocketry:pipesealer, Pipe Seal
advancedrocketry:airlock_door, tile.smallAirlockDoor.name
advancedrocketry:unlittorch, Extinguished Torch
advancedrocketry:thermitetorch, Thermite Torch
advancedrocketry:circlelight, Station Light
advancedrocketry:lightsource, tile.lightSource.name
advancedrocketry:moonturf, Moon Turf
advancedrocketry:moonturf_dark, Dark Moon Turf
advancedrocketry:hotturf, Oxidized Ferric Sand
advancedrocketry:basalt, Basalt
advancedrocketry:geode, Geode Block
advancedrocketry:crystal:0, Violet Crystal Block
advancedrocketry:crystal:1, Blue Crystal Block
advancedrocketry:crystal:2, Green Crystal Block
advancedrocketry:crystal:3, Red Crystal Block
advancedrocketry:crystal:4, Yellow Crystal Block
advancedrocketry:crystal:5, Orange Crystal Block
advancedrocketry:vitrifiedsand, Vitrified Sand
advancedrocketry:charcoallog, Charcoal Log
advancedrocketry:electricmushroom, Electric Mushroom
advancedrocketry:alienwood, Lightwood Wood
advancedrocketry:alienleaves, Lightwood Leaves
advancedrocketry:aliensapling, Lightwood Sapling
advancedrocketry:planks, Lightwood planks
advancedrocketry:productdust:0, Titanium Aluminide Dust
advancedrocketry:productdust:1, Titanium Iridium Alloy Dust
advancedrocketry:productingot:0, Titanium Aluminide Ingot
advancedrocketry:productingot:1, Titanium Iridium Alloy Ingot
advancedrocketry:productnugget:0, Titanium Aluminide Nugget
advancedrocketry:productnugget:1, Titanium Iridium Alloy Nugget
advancedrocketry:productplate:0, Titanium Aluminide Plate
advancedrocketry:productplate:1, Titanium Iridium Alloy Plate
advancedrocketry:productrod:0, Titanium Aluminide Rod
advancedrocketry:productrod:1, Titanium Iridium Alloy Rod
advancedrocketry:productsheet:0, Titanium Aluminide Sheet
advancedrocketry:productsheet:1, Titanium Iridium Alloy Sheet
advancedrocketry:productgear:0, Titanium Aluminide Gear
advancedrocketry:productgear:1, Titanium Iridium Alloy Gear
advancedrocketry:metal0:0, Titanium Aluminide Block
advancedrocketry:metal0:1, Titanium Iridium Alloy Block
